# genomeia body export
# cells=182 links=478 bone=182 muscle=0
# P <genomeId> <x> <y> <radius> <cellType> <bone> <muscle>
# L <genomeIdA> <genomeIdB>
P 0 64.0000 64.0000 0.5000 2 1 0
P 1 64.6000 64.0000 0.5000 2 1 0
P 2 65.2000 64.0000 0.5000 2 1 0
P 3 63.4000 64.0000 0.5000 2 1 0
P 4 63.7000 64.5196 0.5000 2 1 0
P 5 64.3000 64.5196 0.5000 2 1 0
P 6 64.9000 64.5196 0.5000 2 1 0
P 7 63.7000 63.4804 0.5000 2 1 0
P 8 64.3000 63.4804 0.5000 2 1 0
P 9 64.9000 63.4804 0.5000 2 1 0
P 10 64.6000 65.0392 0.5000 2 1 0
P 11 64.0000 65.0392 0.5000 2 1 0
P 12 63.1000 64.5196 0.5000 2 1 0
P 13 63.4000 65.0392 0.5000 2 1 0
P 14 63.1000 63.4804 0.5000 2 1 0
P 15 64.0000 62.9608 0.5000 2 1 0
P 16 64.6000 62.9608 0.5000 2 1 0
P 17 63.4000 62.9608 0.5000 2 1 0
P 18 62.8000 64.0000 0.5000 2 1 0
P 19 62.8000 65.0392 0.5000 2 1 0
P 20 65.2000 65.0392 0.5000 2 1 0
P 21 62.8000 62.9608 0.5000 2 1 0
P 22 65.2000 62.9608 0.5000 2 1 0
P 23 63.7000 65.5588 0.5000 2 1 0
P 24 63.1000 65.5588 0.5000 2 1 0
P 25 64.3000 65.5588 0.5000 2 1 0
P 26 64.9000 65.5588 0.5000 2 1 0
P 27 63.7000 62.4412 0.5000 2 1 0
P 28 63.1000 62.4412 0.5000 2 1 0
P 29 64.3000 62.4412 0.5000 2 1 0
P 30 64.9000 62.4412 0.5000 2 1 0
P 31 62.8000 61.9215 0.5000 2 1 0
P 32 63.4000 61.9215 0.5000 2 1 0
P 33 64.0000 61.9215 0.5000 2 1 0
P 34 64.6000 61.9215 0.5000 2 1 0
P 35 62.8000 66.0785 0.5000 2 1 0
P 36 63.4000 66.0785 0.5000 2 1 0
P 37 64.0000 66.0785 0.5000 2 1 0
P 38 64.6000 66.0785 0.5000 2 1 0
P 39 65.2000 61.9215 0.5000 2 1 0
P 40 65.2000 66.0785 0.5000 2 1 0
P 41 63.1000 61.4019 0.5000 2 1 0
P 42 63.7000 61.4019 0.5000 2 1 0
P 43 64.3000 61.4019 0.5000 2 1 0
P 44 64.9000 61.4019 0.5000 2 1 0
P 45 63.1000 66.5981 0.5000 2 1 0
P 46 63.7000 66.5981 0.5000 2 1 0
P 47 64.3000 66.5981 0.5000 2 1 0
P 48 64.9000 66.5981 0.5000 2 1 0
P 49 62.8000 67.1177 0.5000 2 1 0
P 50 63.4000 67.1177 0.5000 2 1 0
P 51 64.0000 67.1177 0.5000 2 1 0
P 52 64.6000 67.1177 0.5000 2 1 0
P 53 65.2000 67.1177 0.5000 2 1 0
P 54 62.8000 60.8823 0.5000 2 1 0
P 55 63.4000 60.8823 0.5000 2 1 0
P 56 64.0000 60.8823 0.5000 2 1 0
P 57 64.6000 60.8823 0.5000 2 1 0
P 58 65.2000 60.8823 0.5000 2 1 0
P 59 63.1000 67.6373 0.5000 2 1 0
P 60 63.7000 67.6373 0.5000 2 1 0
P 61 64.3000 67.6373 0.5000 2 1 0
P 62 64.9000 67.6373 0.5000 2 1 0
P 63 63.7000 60.3627 0.5000 2 1 0
P 64 63.1000 60.3627 0.5000 2 1 0
P 65 64.3000 60.3627 0.5000 2 1 0
P 66 64.9000 60.3627 0.5000 2 1 0
P 67 62.8000 59.8431 0.5000 2 1 0
P 68 63.4000 59.8431 0.5000 2 1 0
P 69 64.0000 59.8431 0.5000 2 1 0
P 70 64.6000 59.8431 0.5000 2 1 0
P 71 65.2000 68.1569 0.5000 2 1 0
P 72 64.6000 68.1569 0.5000 2 1 0
P 73 64.0000 68.1569 0.5000 2 1 0
P 74 63.4000 68.1569 0.5000 2 1 0
P 75 62.8000 68.1569 0.5000 2 1 0
P 76 65.2000 59.8431 0.5000 2 1 0
P 77 62.5000 60.3627 0.5000 2 1 0
P 78 62.5000 61.4019 0.5000 2 1 0
P 79 62.5000 62.4412 0.5000 2 1 0
P 80 62.5000 63.4804 0.5000 2 1 0
P 81 62.5000 64.5196 0.5000 2 1 0
P 82 62.5000 65.5588 0.5000 2 1 0
P 83 62.5000 66.5981 0.5000 2 1 0
P 84 62.5000 67.6373 0.5000 2 1 0
P 85 65.5000 67.6373 0.5000 2 1 0
P 86 65.5000 66.5981 0.5000 2 1 0
P 87 65.5000 65.5588 0.5000 2 1 0
P 88 65.5000 64.5196 0.5000 2 1 0
P 89 65.5000 63.4804 0.5000 2 1 0
P 90 65.5000 62.4412 0.5000 2 1 0
P 91 65.5000 61.4019 0.5000 2 1 0
P 92 65.5000 60.3627 0.5000 2 1 0
P 93 62.2000 59.8431 0.5000 2 1 0
P 94 65.8000 59.8431 0.5000 2 1 0
P 95 65.8000 60.8823 0.5000 2 1 0
P 96 65.8000 61.9215 0.5000 2 1 0
P 97 65.8000 62.9608 0.5000 2 1 0
P 98 65.8000 64.0000 0.5000 2 1 0
P 99 65.8000 65.0392 0.5000 2 1 0
P 100 65.8000 66.0785 0.5000 2 1 0
P 101 65.8000 67.1177 0.5000 2 1 0
