# genomeia body export
# cells=370 links=889 bone=113 muscle=45
# P <genomeId> <x> <y> <radius> <cellType> <bone> <muscle>
# L <genomeIdA> <genomeIdB>
P 0 64.0000 64.0000 0.5000 2 1 0
P 1 64.6000 64.0000 0.5000 2 1 0
P 2 65.2000 64.0000 0.5000 2 1 0
P 3 63.4000 64.0000 0.5000 2 1 0
P 4 62.8000 64.0000 0.5000 2 1 0
P 5 65.8000 64.0000 0.5000 2 1 0
P 6 62.2000 64.0000 0.5000 2 1 0
P 7 66.4000 64.0000 0.5000 2 1 0
P 8 61.6000 64.0000 0.5000 0 0 0
P 9 67.0000 64.0000 0.5000 2 1 0
P 10 61.0000 64.0000 0.5000 0 0 0
P 11 67.6000 64.0000 0.5000 2 1 0
P 12 60.4000 64.0000 0.5000 2 1 0
P 13 68.2000 64.0000 0.5000 0 0 0
P 14 59.8000 64.0000 0.5000 2 1 0
P 15 68.8000 64.0000 0.5000 0 0 0
P 16 59.2000 64.0000 0.5000 2 1 0
P 17 69.4000 64.0000 0.5000 0 0 0
P 18 58.6000 64.0000 0.5000 2 1 0
P 19 70.0000 64.0000 0.5000 1 0 0
P 20 58.0000 64.0000 0.5000 2 1 0
P 21 70.6000 64.0000 0.5000 1 0 0
P 22 57.4000 64.0000 0.5000 2 1 0
P 23 71.2000 64.0000 0.5000 1 0 0
P 24 70.9000 64.5196 0.5000 1 0 0
P 25 70.6000 65.0392 0.5000 1 0 0
P 26 70.3000 65.5588 0.5000 0 0 0
P 27 70.0000 66.0785 0.5000 0 0 0
P 28 69.7000 66.5981 0.5000 0 0 0
P 29 69.4000 67.1177 0.5000 2 1 0
P 30 69.1000 67.6373 0.5000 2 1 0
P 31 68.8000 68.1569 0.5000 2 1 0
P 32 68.5000 68.6765 0.5000 2 1 0
P 33 68.2000 69.1962 0.5000 2 1 0
P 34 67.9000 69.7158 0.5000 2 1 0
P 35 67.6000 70.2354 0.5000 2 1 0
P 36 67.3000 70.7550 0.5000 2 1 0
P 37 67.0000 71.2746 0.5000 2 1 0
P 38 66.7000 71.7942 0.5000 2 1 0
P 39 66.4000 72.3138 0.5000 2 1 0
P 40 66.1000 72.8335 0.5000 0 0 0
P 41 65.8000 73.3531 0.5000 0 0 0
P 42 65.5000 73.8727 0.5000 2 1 0
P 43 65.2000 74.3923 0.5000 2 1 0
P 44 64.9000 74.9119 0.5000 2 1 0
P 45 64.6000 75.4315 0.5000 2 1 0
P 46 64.3000 75.9511 0.5000 2 1 0
P 47 64.0000 76.4708 0.5000 2 1 0
P 48 57.7000 64.5196 0.5000 2 1 0
P 49 58.3000 64.5196 0.5000 2 1 0
P 50 58.9000 64.5196 0.5000 2 1 0
P 51 59.5000 64.5196 0.5000 2 1 0
P 52 60.1000 64.5196 0.5000 2 1 0
P 53 60.7000 64.5196 0.5000 2 1 0
P 54 61.3000 64.5196 0.5000 0 0 0
P 55 61.9000 64.5196 0.5000 2 1 0
P 56 62.5000 64.5196 0.5000 2 1 0
P 57 63.1000 64.5196 0.5000 2 1 0
P 58 63.7000 64.5196 0.5000 2 1 0
P 59 64.3000 64.5196 0.5000 2 1 0
P 60 64.9000 64.5196 0.5000 2 1 0
P 61 64.9000 63.4804 0.5000 2 1 0
P 62 65.5000 64.5196 0.5000 2 1 0
P 63 66.1000 64.5196 0.5000 2 1 0
P 64 66.7000 64.5196 0.5000 2 1 0
P 65 67.3000 64.5196 0.5000 2 1 0
P 66 67.9000 64.5196 0.5000 2 1 0
P 67 68.5000 64.5196 0.5000 2 1 0
P 68 69.1000 64.5196 0.5000 2 1 0
P 69 69.7000 64.5196 0.5000 1 0 0
P 70 70.3000 64.5196 0.5000 1 0 0
P 71 70.0000 65.0392 0.5000 1 0 0
P 72 69.7000 65.5588 0.5000 2 1 0
P 73 69.4000 66.0785 0.5000 2 1 0
P 74 69.1000 66.5981 0.5000 2 1 0
P 75 68.8000 67.1177 0.5000 2 1 0
P 76 68.5000 67.6373 0.5000 2 1 0
P 77 68.2000 68.1569 0.5000 2 1 0
P 78 67.9000 68.6765 0.5000 2 1 0
P 79 67.6000 69.1962 0.5000 2 1 0
P 80 67.3000 69.7158 0.5000 2 1 0
P 81 67.0000 70.2354 0.5000 2 1 0
P 82 66.7000 70.7550 0.5000 2 1 0
P 83 66.4000 71.2746 0.5000 2 1 0
P 84 66.1000 71.7942 0.5000 2 1 0
P 85 65.8000 72.3138 0.5000 2 1 0
P 86 65.5000 72.8335 0.5000 0 0 0
P 87 65.2000 73.3531 0.5000 2 1 0
P 88 64.9000 73.8727 0.5000 2 1 0
P 89 64.6000 74.3923 0.5000 2 1 0
P 90 64.3000 74.9119 0.5000 2 1 0
P 91 64.0000 75.4315 0.5000 2 1 0
P 92 63.7000 75.9511 0.5000 2 1 0
P 93 58.3000 63.4804 0.5000 2 1 0
P 94 57.7000 63.4804 0.5000 2 1 0
P 95 58.9000 63.4804 0.5000 2 1 0
P 96 59.5000 63.4804 0.5000 2 1 0
P 97 60.1000 63.4804 0.5000 2 1 0
P 98 60.7000 63.4804 0.5000 2 1 0
P 99 61.3000 63.4804 0.5000 0 0 0
P 100 61.9000 63.4804 0.5000 2 1 0
P 101 62.5000 63.4804 0.5000 2 1 0
